Id;R;Rm;Nome;Squadra;Pv;Mv;Fm;Gf;Gs;Rp;Rc;R+;R-;Ass;Amm;Esp;Au
2428;P;Por;Sommer;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
5876;P;Por;Di Gregorio;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
4312;P;Por;Maignan;Milan;0;0;0;0;0;0;0;0;0;0;0;0;0
572;P;Por;Meret;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
5841;P;Por;Svilar;Roma;0;0;0;0;0;0;0;0;0;0;0;0;0
4431;P;Por;Carnesecchi;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
2521;P;Por;De Gea;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
2814;P;Por;Provedel;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
133;P;Por;Skorupski;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
6966;P;Por;Butez;Como;0;0;0;0;0;0;0;0;0;0;0;0;0
7179;P;Por;Israel;Torino;0;0;0;0;0;0;0;0;0;0;0;0;0
188;P;Por;Leali;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
4360;P;Por;Caprile;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
6641;P;Por;Suzuki;Parma;0;0;0;0;0;0;0;0;0;0;0;0;0
4867;P;Por;Turati;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
2134;P;Por;Falcone;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
6462;P;Por;Okoye;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
761;P;Por;Audero;Cremonese;0;0;0;0;0;0;0;0;0;0;0;0;0
4957;P;Por;Montipò;Verona;0;0;0;0;0;0;0;0;0;0;0;0;0
2170;P;Por;Milinkovic-Savic V.;Napoli;0;0;0;0;0;0;0;0;0;0;0;0;0
6842;P;Por;Sava;Udinese;0;0;0;0;0;0;0;0;0;0;0;0;0
2722;P;Por;Ravaglia F.;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
6482;P;Por;Mandas;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
574;P;Por;Scuffet;Pisa;0;0;0;0;0;0;0;0;0;0;0;0;0
2861;P;Por;Semper;Pisa;0;0;0;0;0;0;0;0;0;0;0;0;0
4236;P;Por;Muric;Sassuolo;0;0;0;0;0;0;0;0;0;0;0;0;0
5116;P;Por;Martinez Jo.;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
2297;P;Por;Rossi F.;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
4;P;Por;Sportiello;Atalanta;0;0;0;0;0;0;0;0;0;0;0;0;0
7172;P;Por;Pessina Mas.;Bologna;0;0;0;0;0;0;0;0;0;0;0;0;0
4929;P;Por;Ciocci;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
3;P;Por;Radunovic;Cagliari;0;0;0;0;0;0;0;0;0;0;0;0;0
2809;P;Por;Vigorito;Como;0;0;0;0;0;0;0;0;0;0;0;0;0
6505;P;Por;Nava;Cremonese;0;0;0;0;0;0;0;0;0;0;0;0;0
6403;P;Por;Christensen O.;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
6184;P;Por;Martinelli T.;Fiorentina;0;0;0;0;0;0;0;0;0;0;0;0;0
6991;P;Por;Siegrist;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
219;P;Por;Sommariva;Genoa;0;0;0;0;0;0;0;0;0;0;0;0;0
1926;P;Por;Di Gennaro;Inter;0;0;0;0;0;0;0;0;0;0;0;0;0
218;P;Por;Perin;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
1930;P;Por;Pinsoglio;Juventus;0;0;0;0;0;0;0;0;0;0;0;0;0
6417;P;Por;Furlanetto;Lazio;0;0;0;0;0;0;0;0;0;0;0;0;0
2401;P;Por;Fruchtl;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
6523;P;Por;Samooja;Lecce;0;0;0;0;0;0;0;0;0;0;0;0;0
