Giocatore,Ruolo,Squadra,Gol/90,Assist/90,Gol+Assist/90,Gol/90 attesi,Assist/90 attesi,Gol+Assist/90 attesi,Occasioni create,Passaggi chiave,Pressioni,Progressioni palla (Carry/90),Progressioni palla (Pass/90),Progressioni palla (Ricezione/90),xG senza rigori,Gol senza rigori/90,Percentuale rigori,Differenza Gol fatti - attesi,Differenza Assist fatti - attesi,Cartellini/90,Espulsioni/90,Ammonizioni/90,Indice Sintetico,Punteggio (0-100),Percentile nel Ruolo,Tier
Audero,P,Cremonese,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.63,21.1,0.82,A
Butez,P,Como,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.47,87.68,0.0,0.05,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.82,27.2,0.3,C
Caprile,P,Cagliari,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.55,88.41,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.82,27.2,0.3,C
Carnesecchi,P,Atalanta,0.0,0.0,0.0,0.0,0.01,0.01,1.0,0.89,90.0,0.0,0.0,0.0,,0.0,,0.0,-0.2,0.03,0.0,0.03,0.69,23.1,0.66,B
Chichizola,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,90.0,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.69,23.1,0.66,B
Di Gregorio,P,Juventus,0.0,0.0,0.0,0.0,0.02,0.02,1.0,0.87,90.0,0.0,0.0,0.0,,0.0,,0.0,-0.5,0.0,0.0,0.0,0.61,20.4,0.86,A
Falcone,P,Lecce,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.05,0.0,0.05,0.73,24.5,0.52,B
Gollini,P,Roma,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.14,0.0,0.14,0.88,29.3,0.2,C
Joronen,P,,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.18,87.88,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.94,31.3,0.15,C
Leali,P,Genoa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.76,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.03,0.0,0.03,0.73,24.5,0.52,B
Maignan,P,Milan,0.0,0.0,0.0,0.0,0.02,0.02,1.0,0.97,89.03,0.0,0.11,0.0,,0.0,,0.0,-0.8,0.03,0.0,0.03,0.69,23.1,0.66,B
Mandas,P,Lazio,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24,90.0,0.0,0.33,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.57,19.0,0.91,S
Martinez,P,Inter,0.0,0.0,0.0,0.0,0.02,0.02,1.0,0.13,90.0,0.0,0.0,0.0,,0.0,,0.0,-0.1,0.0,0.0,0.0,0.69,23.1,0.66,B
Meret,P,Napoli,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.89,88.38,0.0,0.03,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.63,21.1,0.82,A
Milinković-Savić,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97,90.0,0.0,0.0,0.0,,0.0,,0.0,-0.1,0.08,0.0,0.08,0.82,27.2,0.3,C
Montipò,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.95,90.0,0.0,0.03,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.51,17.0,0.97,S
Musso,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.76,25.2,0.42,C
Okoye,P,Udinese,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.66,90.0,0.0,0.04,0.0,,0.0,,0.0,0.0,0.04,0.0,0.04,0.67,22.4,0.77,A
Padelli,P,Udinese,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.76,25.2,0.42,C
Paleari,P,Torino,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.76,25.2,0.42,C
Patrício,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.69,23.1,0.66,B
Perilli,P,Verona,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.69,23.1,0.66,B
Perin,P,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.69,23.1,0.66,B
Pizzignacco,P,,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.21,81.78,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,33.3,0.07,C
Provedel,P,Lazio,0.0,0.0,0.0,0.0,0.01,0.01,1.0,0.76,90.0,0.0,0.14,0.0,,0.0,,0.0,-0.3,0.0,0.0,0.0,0.55,18.4,0.93,S
Radu,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.39,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.07,0.0,0.07,0.78,25.9,0.34,C
Ravaglia,P,Bologna,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.29,88.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.94,31.3,0.15,C
Reina,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.32,86.17,0.0,0.0,0.0,,0.0,,0.0,0.0,0.09,0.09,0.0,1.06,35.4,0.05,C
Sava,P,Udinese,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.32,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.08,0.0,0.08,0.88,29.3,0.2,C
Scuffet,P,Pisa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.63,21.1,0.82,A
Seghetti,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.76,25.2,0.42,C
Sherri,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18,88.71,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.76,25.2,0.42,C
Siegrist,P,Genoa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,76.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.88,29.3,0.2,C
Silvestri,P,Cremonese,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.69,23.1,0.66,B
Skorupski,P,Bologna,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.71,87.56,0.0,0.0,0.0,,0.0,,0.0,0.0,0.04,0.0,0.04,0.86,28.6,0.25,C
Sommer,P,Inter,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.87,90.0,0.0,0.03,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.51,17.0,0.97,S
Sportiello,P,Atalanta,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.03,63.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,1.12,37.4,0.02,C
Stankovic,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.42,85.44,0.0,0.0,0.0,,0.0,,0.0,0.0,0.07,0.0,0.07,0.96,32.0,0.1,C
Suzuki,P,Parma,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.97,89.57,0.0,0.0,0.0,,0.0,,0.0,0.0,0.08,0.03,0.05,0.96,32.0,0.1,C
Svilar,P,Roma,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,90.0,0.0,0.05,0.0,,0.0,,0.0,0.0,0.03,0.0,0.03,0.59,19.7,0.89,A
Terracciano,P,Cremonese,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.69,23.1,0.66,B
Turati,P,Sassuolo,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.79,89.2,0.0,0.0,0.0,,0.0,,0.0,0.0,0.03,0.0,0.03,0.76,25.2,0.42,C
Vásquez,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.84,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.06,0.0,0.06,0.73,24.5,0.52,B
de Gea,P,,0.0,0.03,0.03,0.0,0.01,0.01,1.0,0.92,90.0,0.0,0.0,0.0,,0.0,,0.0,0.6,0.03,0.0,0.03,0.45,15.0,1.0,S
Abankwah,D,,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,14.67,3.07,4.09,1.02,0.0,0.0,,-0.1,0.0,1.02,0.0,1.02,1.48,49.2,0.08,C
Abdulhamid,D,Roma,0.0,0.44,0.44,0.0,0.09,0.09,0.5,0.05,51.25,2.63,3.95,11.41,,0.0,,0.0,0.8,0.0,0.0,0.0,0.57,19.0,0.59,B
Acerbi,D,Inter,0.0,0.05,0.05,0.02,0.03,0.05,0.87,0.53,74.35,1.0,3.26,1.16,0.0,0.0,,-0.4,0.4,0.0,0.0,0.0,0.4,13.5,0.76,A
Ahanor,D,Atalanta,0.0,0.0,0.0,0.17,0.03,0.2,0.5,0.08,45.0,1.0,1.0,2.33,0.0,0.0,,-0.5,-0.1,0.0,0.0,0.0,1.07,35.7,0.24,C
Altare,D,,0.0,0.0,0.0,0.02,0.01,0.04,0.67,0.21,62.75,0.48,2.39,0.6,0.0,0.0,,-0.2,-0.1,0.24,0.0,0.24,1.07,35.7,0.24,C
Angeliño,D,,0.06,0.03,0.08,0.04,0.1,0.14,0.95,0.95,83.61,1.87,4.87,4.87,1.43,0.06,,0.6,-2.7,0.03,0.0,0.03,0.07,2.4,0.99,S
Augello,D,,0.0,0.23,0.23,0.01,0.15,0.16,0.79,0.79,71.39,1.92,3.91,3.75,0.0,0.0,,-0.3,2.4,0.1,0.0,0.1,0.21,7.1,0.94,S
Augusto,D,,0.16,0.11,0.27,0.15,0.09,0.23,0.52,0.39,58.31,1.65,4.26,4.42,1.07,0.16,,0.2,0.4,0.05,0.0,0.05,0.21,7.1,0.94,S
Aurel Bisseck,D,,0.16,0.11,0.27,0.14,0.05,0.19,0.63,0.45,60.85,1.75,5.09,2.41,1.15,0.16,,0.4,1.1,0.22,0.0,0.22,0.29,9.5,0.88,A
Azzi,D,Cremonese,0.0,0.0,0.0,0.11,0.19,0.3,0.83,0.13,71.0,3.17,2.75,5.49,0.0,0.0,,-0.5,-0.9,0.42,0.0,0.42,0.86,28.6,0.39,C
Balogh,D,Parma,0.0,0.04,0.04,0.02,0.0,0.02,0.79,0.61,70.79,0.31,1.62,0.04,0.0,0.0,,-0.4,0.9,0.22,0.0,0.22,0.95,31.7,0.29,C
Bani,D,,0.0,0.0,0.0,0.07,0.01,0.08,0.95,0.5,75.35,0.36,1.49,0.18,0.0,0.0,,-1.2,-0.2,0.18,0.0,0.18,0.83,27.8,0.42,C
