Giocatore,Ruolo,Squadra,Gol/90,Assist/90,Gol+Assist/90,Gol/90 attesi,Assist/90 attesi,Gol+Assist/90 attesi,Occasioni create,Passaggi chiave,Pressioni,Progressioni palla (Carry/90),Progressioni palla (Pass/90),Progressioni palla (Ricezione/90),xG senza rigori,Gol senza rigori/90,Percentuale rigori,Differenza Gol fatti - attesi,Differenza Assist fatti - attesi,Cartellini/90,Espulsioni/90,Ammonizioni/90,Indice Sintetico,Punteggio (0-100),Percentile nel Ruolo,Tier
de Gea,P,,0.0,0.03,0.03,0.0,0.01,0.01,1.0,0.92,90.0,0.0,0.0,0.0,,0.0,,0.0,0.6,0.03,0.0,0.03,0.45,15.0,1.0,S
Montipò,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.95,90.0,0.0,0.03,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.51,17.0,0.97,S
Sommer,P,Inter,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.87,90.0,0.0,0.03,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.51,17.0,0.97,S
Provedel,P,Lazio,0.0,0.0,0.0,0.0,0.01,0.01,1.0,0.76,90.0,0.0,0.14,0.0,,0.0,,0.0,-0.3,0.0,0.0,0.0,0.55,18.4,0.93,S
Mandas,P,Lazio,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24,90.0,0.0,0.33,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.57,19.0,0.91,S
Svilar,P,Roma,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,90.0,0.0,0.05,0.0,,0.0,,0.0,0.0,0.03,0.0,0.03,0.59,19.7,0.89,A
Di Gregorio,P,Juventus,0.0,0.0,0.0,0.0,0.02,0.02,1.0,0.87,90.0,0.0,0.0,0.0,,0.0,,0.0,-0.5,0.0,0.0,0.0,0.61,20.4,0.86,A
Audero,P,Cremonese,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.21,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.63,21.1,0.82,A
Meret,P,Napoli,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.89,88.38,0.0,0.03,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.63,21.1,0.82,A
Scuffet,P,Pisa,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.37,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.63,21.1,0.82,A
Okoye,P,Udinese,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.66,90.0,0.0,0.04,0.0,,0.0,,0.0,0.0,0.04,0.0,0.04,0.67,22.4,0.77,A
Carnesecchi,P,Atalanta,0.0,0.0,0.0,0.0,0.01,0.01,1.0,0.89,90.0,0.0,0.0,0.0,,0.0,,0.0,-0.2,0.03,0.0,0.03,0.69,23.1,0.66,B
Chichizola,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,90.0,0.0,1.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.69,23.1,0.66,B
Maignan,P,Milan,0.0,0.0,0.0,0.0,0.02,0.02,1.0,0.97,89.03,0.0,0.11,0.0,,0.0,,0.0,-0.8,0.03,0.0,0.03,0.69,23.1,0.66,B
Martinez,P,Inter,0.0,0.0,0.0,0.0,0.02,0.02,1.0,0.13,90.0,0.0,0.0,0.0,,0.0,,0.0,-0.1,0.0,0.0,0.0,0.69,23.1,0.66,B
Patrício,P,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.69,23.1,0.66,B
Perilli,P,Verona,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.69,23.1,0.66,B
Perin,P,Juventus,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.69,23.1,0.66,B
Silvestri,P,Cremonese,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.13,90.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.69,23.1,0.66,B
