Giocatore,Ruolo,Squadra,Tier Gol/90,Tier Assist/90,Tier Gol+Assist/90,Tier xG/90,Tier xA/90,Tier xG+xA/90,Tier Occasioni create,Tier Passaggi chiave,Tier Pressioni,Tier Progressioni palla (Carry/90),Tier Progressioni palla (Pass/90),Tier Progressioni palla (Ricezione/90),Tier xG senza rigori,Tier Gol senza rigori/90,Tier Differenza Gol-xG,Tier Differenza Assist-xA,Tier Cartellini/90,Tier Espulsioni/90,Tier Ammonizioni/90
de Gea,P,,B,C,C,B,C,C,C,C,C,B,B,B,,B,B,C,B,C,B
Montipò,P,,B,B,B,B,B,B,C,C,C,B,C,B,,B,B,C,C,C,C
Sommer,P,Inter,B,B,B,B,B,B,C,C,C,B,C,B,,B,B,C,C,C,C
Provedel,P,Lazio,B,B,B,B,C,C,C,C,C,B,C,B,,B,B,S,C,C,C
Mandas,P,Lazio,B,B,B,B,B,B,C,B,C,B,C,B,,B,B,C,C,C,C
Svilar,P,Roma,B,B,B,B,B,B,C,C,C,B,C,B,,B,B,C,B,C,B
Di Gregorio,P,Juventus,B,B,B,B,C,C,C,C,C,B,B,B,,B,B,S,C,C,C
Audero,P,Cremonese,B,B,B,B,B,B,C,B,C,B,B,B,,B,B,C,C,C,C
Meret,P,Napoli,B,B,B,B,B,B,C,C,A,B,C,B,,B,B,C,C,C,C
Scuffet,P,Pisa,B,B,B,B,B,B,C,B,C,B,B,B,,B,B,C,C,C,C
Okoye,P,Udinese,B,B,B,B,B,B,C,C,C,B,C,B,,B,B,C,A,C,A
Carnesecchi,P,Atalanta,B,B,B,B,C,C,C,C,C,B,B,B,,B,B,S,B,C,B
Chichizola,P,,B,B,B,B,B,B,C,S,C,B,C,B,,B,B,C,C,C,C
Maignan,P,Milan,B,B,B,B,C,C,C,C,B,B,C,B,,B,B,S,B,C,B
Martinez,P,Inter,B,B,B,B,C,C,C,A,C,B,B,B,,B,B,A,C,C,C
Patrício,P,,B,B,B,B,B,B,C,A,C,B,B,B,,B,B,C,C,C,C
Perilli,P,Verona,B,B,B,B,B,B,C,A,C,B,B,B,,B,B,C,C,C,C
Perin,P,Juventus,B,B,B,B,B,B,C,A,C,B,B,B,,B,B,C,C,C,C
Silvestri,P,Cremonese,B,B,B,B,B,B,C,A,C,B,B,B,,B,B,C,C,C,C
Terracciano,P,Cremonese,B,B,B,B,B,B,C,A,C,B,B,B,,B,B,C,C,C,C
Falcone,P,Lecce,B,B,B,B,B,B,C,C,C,B,B,B,,B,B,C,A,C,A
Leali,P,Genoa,B,B,B,B,B,B,C,C,C,B,B,B,,B,B,C,A,C,A
Vásquez,P,,B,B,B,B,B,B,C,C,C,B,B,B,,B,B,C,A,C,A
Musso,P,,B,B,B,B,B,B,C,S,C,B,B,B,,B,B,C,C,C,C
Padelli,P,Udinese,B,B,B,B,B,B,C,S,C,B,B,B,,B,B,C,C,C,C
Paleari,P,Torino,B,B,B,B,B,B,C,S,C,B,B,B,,B,B,C,C,C,C
Seghetti,P,,B,B,B,B,B,B,C,S,C,B,B,B,,B,B,C,C,C,C
Sherri,P,,B,B,B,B,B,B,C,B,A,B,B,B,,B,B,C,C,C,C
